model_version,comments,epochs,time_freq,num_cells,num_layers,mini_batch_size,learning_rate,early_stopping_patience,prediction_length,context_length,MAE_iq,MAE_sj,MAE_total
target-only-global-2020-04-14-12-27-04-08,baseline version only using the target itself to predict target. We also ignore the difference between iq and sj for training,100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,7.19,18.82,26.01
features-scaled-2020-04-14-14-45-36-63,"Adding 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_specific_humidity_g_per_kg' and StandardScaler",100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,7.838378673179487,15.54874401046731,23.3871226836468
2020-04-14--19-39-features-scaled-log-label,"Log of target. Adding 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_specific_humidity_g_per_kg' and StandardScaler",100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,8.374714097344492,16.495675536221405,24.8703896335659
2020-04-14--22-53-features-minmax-log-label,"Log of target. Adding 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_specific_humidity_g_per_kg' and StandardScaler",100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,10.891570276858443,18.307351733520257,28.346932769399533
2020-04-14--23-36-features-maxabs-log-label,"Log of target. Adding 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_specific_humidity_g_per_kg' and StandardScaler",100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,12.595177463554785,18.05992649249554,30.134545099522203
2020-04-15--00-30-features-maxabs-label," Adding 'reanalysis_avg_temp_k', 'reanalysis_max_air_temp_k', 'reanalysis_min_air_temp_k', 'reanalysis_specific_humidity_g_per_kg' and MaxAbs",100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,8.326284137100641,29.455584619191537,37.93811658435051
2020-04-15--01-10-dew-std-label,revert to standardscaler and add dew point,100.0,W,40.0,2.0,128.0,0.003,10.0,156.0,156.0,7.642451133698717,31.558084521846148,39.24969370536538
2020-04-17--14-20-dew-min-std-log,"only min temp and dewpoint, with log target",100,W,100,2,128,0.01,10,156,32,15.807032124311082,20.57598876755909,36.383020891870174
2020-04-17--15-19-dew-min-std,"only min temp and dewpoint, with no log target",100,W,100,2,128,0.01,10,156,32,8.43785367445064,15.149750513296924,23.587604187747566
2020-04-17--17-45-dew-min-std-longer,"only min temp and dewpoint, with no log target - Adjust HP fo training",250,W,64,2,64,0.005,25,156,32,7.002215946736538,13.928264002618462,20.930479949355
2020-04-18--15-14-only-target-longer,baseline with only target but longer learning,250,W,64,2,64,0.005,25,156,32,11.422402632566026,17.196838730344616,28.619241362910643
2020-04-19--10-28-only-target-optim,baseline with only target but longer learning - optim HP,250,W,128,2,64,0.0065,25,156,52,7.670927101598718,15.171829921636537,22.842757023235254
2020-04-19--11-32-dew_min-optim,dew and min but longer learning - optim HP,250,W,128,2,64,0.0065,25,156,52,8.229698152254487,12.38652312847308,20.616221280727565
2020-04-19--12-42-only-target-optim,baseline with only target but longer learning - optim HP,500,W,64,2,64,0.005,25,156,32,7.822390629507051,13.721162476446157,21.543553105953208
